id,writer,,title,dateline,day,period,place
133-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Tuesday, April 20",1747-04-20,,
134-000,clarissa-harlowe,,Miss Clarissa Harlowe,,1747-04-20,,
135-000,clarissa-harlowe,,Miss Clarissa Harlowe,,1747-04-20,,
136-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Friday Morning, April 21",1747-04-21,morning,
137-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Friday, April 22",1747-04-22,,
138-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Friday, April 21",1747-04-21,,
139-000,joseph-leman,,"To Robert Lovelace, Esq. His Honner",Sat. April 15,1747-04-15,,
140-000,robert-lovelace,,"Mr. Lovelace, to Joseph Leman","Monday, April 17",1747-04-17,,
141-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Mrs. Hervey","Thursday, April 20",1747-04-20,,
142-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Saturday, April 22",1747-04-22,,
143-000,john-belford,,"Mr. Belford, to Robert Lovelace, Esq.","Friday, April 21",1747-04-21,,
144-000,dorothy-hervey,,"Mrs. Hervey, to Miss Clarissa Harlowe","Friday, April 21",1747-04-21,,
145-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",Sat. Morn. April 22,1747-04-22,morning,
146-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Saturday Afternoon, April 22",1747-04-22,afternoon,
147-000,arabella-harlowe,,To Miss Clarissa Harlowe,"Friday, April 21",1747-04-21,,
148-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Tuesday, April 25",1747-04-25,,
149-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Wednesday Morning, April 26",1747-04-26,morning,
150-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Thursday, April 27",1747-04-27,,
151-000,annabella-howe,,From Miss Howe,"Thursday, April 27",1747-04-27,,
152-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Monday, April 24",1747-04-24,,
153-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Tuesday, April 25",1747-04-25,,
154-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Wedn. April 26,1747-04-26,,
155-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Wednesday Afternoon, April 26",1747-04-26,afternoon,
156-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Thursday Night, April 27",1747-04-27,night,
157-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Thursday Morning, Eight o’clock",1747-04-27,morning,
158-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Friday, April 28",1747-04-28,,
159-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",Sunday,1747-04-30,,
