"id","date","from","to"
"388.00","1747-08-03","john-belford","clarissa-harlowe"
"389.00","1747-08-04","clarissa-harlowe","john-belford"
"390.00","1747-08-04","john-belford","clarissa-harlowe"
"391.00","1747-08-04","john-belford","robert-lovelace"
"392.00","1747-08-03","arabella-harlowe","clarissa-harlowe"
"393.00","1747-08-05","clarissa-harlowe",
"394.00","1747-08-07","charlotte-montague","clarissa-harlowe"
"395.00","1747-08-23","robert-lovelace","john-belford"
"396.00","1747-08-07","robert-lovelace","john-belford"
"397.00","1747-08-07","robert-lovelace","clarissa-harlowe"
"398.00","1747-08-08","clarissa-harlowe","lord-montague"
"399.00","1747-08-10","john-belford","robert-lovelace"
"400.00","1747-08-11","john-belford","robert-lovelace"
"401.00","1747-08-11","clarissa-harlowe","robert-lovelace"
"402.00","1747-08-07","john-harlowe","clarissa-harlowe"
"403.00","1747-08-10","clarissa-harlowe","john-harlowe"
"404.00","1747-08-07","annabella-howe","clarissa-harlowe"
"405.00","1747-08-11","clarissa-harlowe","annabella-howe"
"406.00","1747-08-12","antony-harlowe","clarissa-harlowe"
"407.00","1747-08-13","clarissa-harlowe","antony-harlowe"
"408.00","1747-08-14","judith-norton","clarissa-harlowe"
"409.00","1747-08-27","clarissa-harlowe","judith-norton"
"410.00","1747-08-13","robert-lovelace","john-belford"
"411.00","1747-08-15","john-belford","robert-lovelace"
"412.00","1747-08-16","robert-lovelace","john-belford"
"413.00","1747-08-17","john-belford","robert-lovelace"
"414.00","1747-08-19","john-belford","clarissa-harlowe"
"415.00","1747-08-20","robert-lovelace","john-belford"
"416.00","1747-08-21","robert-lovelace","john-belford"
"417.00","1747-08-22","robert-lovelace","john-belford"
"418.00","1747-08-22","robert-lovelace","john-belford"
"419.00","1747-08-22","john-belford","robert-lovelace"
"420.00","1747-08-23","john-belford","robert-lovelace"
"421.00","1747-08-23","robert-lovelace","john-belford"
"421.01","1747-08-22","clarissa-harlowe","robert-lovelace"
"422.00","1747-08-23","robert-lovelace","john-belford"
"423.00","1747-08-23","robert-lovelace","john-belford"
"424.00","1747-08-23","john-belford","robert-lovelace"
"425.00","1747-08-24","robert-lovelace","john-belford"
"426.00","1747-08-26","john-belford","robert-lovelace"
"427.00","1747-08-18","arthur-lewen","clarissa-harlowe"
"428.00","1747-08-19","clarissa-harlowe",
"429.00","1747-08-21","arabella-harlowe","clarissa-harlowe"
"430.00","1747-08-22","clarissa-harlowe","arabella-harlowe"
"431.00","1747-08-22","judith-norton","clarissa-harlowe"
"432.00","1747-08-22","judith-norton","clarissa-harlowe"
"433.00","1747-08-24","clarissa-harlowe","judith-norton"
"434.00","1747-08-23","annabella-howe","clarissa-harlowe"
"435.00","1747-08-25","clarissa-harlowe","annabella-howe"
"436.00","1747-08-25","clarissa-harlowe","annabella-howe"
"437.00","1747-08-23","alex-wyerley","clarissa-harlowe"
"438.00","1747-08-26","clarissa-harlowe","alex-wyerley"
"439.00","1747-08-28","robert-lovelace","john-belford"
"440.00","1747-08-28","john-belford","robert-lovelace"
"441.00","1747-08-30","john-belford","robert-lovelace"
"442.00","1747-08-29","robert-lovelace","john-belford"
"443.00","1747-08-29",,
"444.00",,"elias-brand","john-harlowe"
"445.00","1747-08-30","john-belford","robert-lovelace"
"446.00","1747-08-31","john-belford","robert-lovelace"
"447.00","1747-08-29","william-morden","clarissa-harlowe"
"448.00","1747-08-31","clarissa-harlowe","william-morden"
